dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.23 1080 8122 21620 215 174 164 MANTENAY-MONTLIN
1.231 1263 7978 21543 1372 1048 1023 MANZIAT
1.232 4014 8249 21533 1646 1167 1135 MARBOZ
1.233 1311 8492 20925 111 92 92 MARCHAMP
1.234 355 8631 20942 120 106 106 MARIGNIEU
1.235 1685 8117 21219 554 393 380 MARLIEUX
1.236 1838 8105 21526 656 460 437 MARSONNAS
1.237 1325 8524 21396 950 684 655 MARTIGNAT
1.238 310 7935 21040 1651 1069 1006 MASSIEUX
1.239 952 8668 20896 452 365 362 MASSIGNIEU-DE-RIVES
1.24 2154 8480 21452 453 304 291 MATAFELON-GRANGES
1.241 1774 8325 21428 981 713 696 MEILLONNAS
1.242 317 8398 21235 103 80 80 MERIGNAT
1.243 595 7879 21194 841 540 524 MESSIMY-SUR-SAONE
1.244 1375 8217 21045 4847 2754 2657 MEXIMIEUX
1.245 2351 8360 21309 653 521 511 BOHAS-MEYRIAT-RIGNAT
1.246 1917 8090 21408 1361 830 807 MEZERIAT
1.247 2200 8814 21583 256 205 188 MIJOUX
1.248 1962 8012 21027 1416 974 931 MIONNAY
1.249 2449 8033 20950 6091 3024 2537 MIRIBEL
1.25 741 7917 21111 1102 812 766 MISERIEUX
1.252 857 7912 21295 516 372 366 MOGNENEINS
1.254 1375 8276 21344 1253 775 758 MONTAGNAT
1.255 622 8434 20930 382 275 269 MONTAGNIEU
1.257 1370 8675 21352 269 231 222 MONTANGES
1.258 1003 7903 21248 724 502 487 MONTCEAUX
1.259 668 8142 21385 435 268 257 MONTCET
1.26 1538 8122 21070 180 133 124 LE_MONTELLIER
1.261 1075 8018 21097 391 287 274 MONTHIEUX
1.262 4011 8112 20982 3883 2389 2298 MONTLUEL
1.263 416 7873 21230 2595 1639 1573 MONTMERLE-SUR-SAONE
1.264 1456 8149 21368 622 373 360 MONTRACOL
1.265 1283 8496 21370 1995 1157 1001 MONTREAL-LA-CLUSE
